animal_id,nombre_cientifico,grupo/animal,familia,tipo,Nombre común,categoria/extincion
14089,Alca torda  ,AVES,CHARADRIIFORMES,Alcidae,Alca comun ,LESRPE
14092,Fratercula arctica,AVES,CHARADRIIFORMES,Alcidae,Frailecillo atlantico,LESRPE
14088,Uria aalge,AVES,CHARADRIIFORMES,Alcidae,Arao comun,En peligro de extincion
12284,Turnix sylvatica,AVES,CHARADRIIFORMES,Turnicidae,Torillo ,En peligro de extincion
10662,Pterocles alchata,AVES,PTEROCLIFORMES,Pteroclididae,Ganga comun,Vulnerable
11909,Pterocles orientalis,AVES,PTEROCLIFORMES,Pteroclididae,Ortega,Vulnerable
10723,Columba bollii,AVES,COLUMBIFORMES,Columbidae,Paloma turque,LESRPE
11544,Columba junoniae,AVES,COLUMBIFORMES,Columbidae,Paloma rabiche,Vulnerable
11369,Clamator glandarius,AVES,CUCULIFORMES,Cuculidae,Crialo europeo,LESRPE
10952,Cuculus canorus,AVES,CUCULIFORMES,Cuculidae,Cuco,LESRPE
36632,Tyto alba alba,AVES,STRIGIFORMES,Tytonidae,Lechuza comun,LESRPE
23788,Tyto alba gracilirostris,AVES,STRIGIFORMES,Tytonidae,Lechuza majorera,Vulnerable
11316,Aegolius funereus ,AVES,STRIGIFORMES,Strigidae,Mochuelo boreal,Vulnerable
11273,Asio flammeus,AVES,STRIGIFORMES,Strigidae,Buho campestre,LESRPE
11921,Asio otus,AVES,STRIGIFORMES,Strigidae,Buho chico,LESRPE
11861,Athene noctua,AVES,STRIGIFORMES,Strigidae,Mochuelo comun ,LESRPE
10917,Bubo bubo,AVES,STRIGIFORMES,Strigidae,Buho real,LESRPE
12175,Otus scops,AVES,STRIGIFORMES,Strigidae,Autillo europeo,LESRPE
10698,Strix aluco,AVES,STRIGIFORMES,Strigidae,Carabo comun,LESRPE
11229,Caprimulgus europaeus,AVES,CAPRIMULGIFORMES,Caprimulgidae,Chotacabras europeo,LESRPE
12122,Caprimulgus ruficollis,AVES,CAPRIMULGIFORMES,Caprimulgidae,Chotacabras pardo,LESRPE
10743,Apus apus,AVES,APODIFORMES,Apodidae,Vencejo comun,LESRPE
10935,Apus caffer,AVES,APODIFORMES,Apodidae,Vencejo cafre,LESRPE
24459,Apus melba ,AVES,APODIFORMES,Apodidae,Vencejo real,LESRPE
11930,Apus pallidus,AVES,APODIFORMES,Apodidae,Vencejo palido,LESRPE
12365,Apus unicolor,AVES,APODIFORMES,Apodidae,Vencejo unicolor,LESRPE
10794,Alcedo atthis,AVES,CORACIFORMES,Alcedinidae,Martin pescador,LESRPE
11339,Coracias garrulus,AVES,CORACIFORMES,Coraciidae,Carraca,LESRPE
10738,Merops apiaster,AVES,CORACIFORMES,Meropidae,Abejaruco comun,LESRPE
11211,Upupa epops,AVES,CORACIFORMES,Upupidae,Abubilla,LESRPE
11591,Dendrocopos leucotos,AVES,PICIFORMES,Picidae,Pico dorsiblanco,En peligro de extincion
11649,Dendrocopos major,AVES,PICIFORMES,Picidae,Pico picapinos,LESRPE
79181,Dendrocopos medius,AVES,PICIFORMES,Picidae,Pico mediano,LESRPE
33015,Dendrocopos minor,AVES,PICIFORMES,Picidae,Pico menor,LESRPE
11684,Dryocopus martius,AVES,PICIFORMES,Picidae,Pito negro,LESRPE
12326,Jynx torquilla,AVES,PICIFORMES,Picidae,Torcecuello,LESRPE
33014,Picus viridis,AVES,PICIFORMES,Picidae,Pito real,LESRPE
10766,Acrocephalus arundinaceus,AVES,PASSERIFORMES,Acrocephalidae,Carricero tordal,LESRPE
11706,Acrocephalus melanopogon,AVES,PASSERIFORMES,Acrocephalidae,Carricerin real,LESRPE
11932,Acrocephalus paludicola,AVES,PASSERIFORMES,Acrocephalidae,Carricerin cejudo,LESRPE
12166,Acrocephalus schoenobaenus,AVES,PASSERIFORMES,Acrocephalidae,Carricerin comun,LESRPE
12171,Acrocephalus scirpaceus,AVES,PASSERIFORMES,Acrocephalidae,Carricero comun,LESRPE
16402,Hippolais icterina,AVES,PASSERIFORMES,Acrocephalidae,Zarcero icterino,LESRPE
33081,Hippolais pallida,AVES,PASSERIFORMES,Acrocephalidae,Zarcero palido,LESRPE
12009,Hippolais polyglotta,AVES,PASSERIFORMES,Acrocephalidae,Zarcero comun,LESRPE
10734,Calandrella brachydactyla,AVES,PASSERIFORMES,Alaudidae,Terrera comun ,LESRPE
33007,Calandrella rufescens,AVES,PASSERIFORMES,Alaudidae,Terrera marismena,LESRPE
11182,Chersophilus duponti  ,AVES,PASSERIFORMES,Alaudidae,Alondra de Dupont o ricoti,En peligro de extincion
11102,Galerida cristata  ,AVES,PASSERIFORMES,Alaudidae,Cogujada comun ,LESRPE
12316,Galerida theklae,AVES,PASSERIFORMES,Alaudidae,Cogujada montesina,LESRPE
10750,Lullula arborea,AVES,PASSERIFORMES,Alaudidae,Totovia,LESRPE
10937,Melanocorypha calandra,AVES,PASSERIFORMES,Alaudidae,Calandria comun,LESRPE
12368,Delichon urbicum,AVES,PASSERIFORMES,Hirundinidae,Avion comun,LESRPE
11132,Hirundo daurica,AVES,PASSERIFORMES,Hirundinidae,Golondrina daurica,LESRPE
12134,Hirundo rustica,AVES,PASSERIFORMES,Hirundinidae,Golondrina comun,LESRPE
12131,Ptyonoprogne rupestris,AVES,PASSERIFORMES,Hirundinidae,Avion roquero,LESRPE
12097,Riparia riparia,AVES,PASSERIFORMES,Hirundinidae,Avion zapador,LESRPE
10835,Anthus berthelotii,AVES,PASSERIFORMES,Motacillidae,Bisbita caminero,LESRPE
10944,Anthus campestris,AVES,PASSERIFORMES,Motacillidae,Bisbita campestre,LESRPE
16377,Anthus cervinus,AVES,PASSERIFORMES,Motacillidae,Bisbita gorgirrojo,LESRPE
16379,Anthus petrosus,AVES,PASSERIFORMES,Motacillidae,Bisbita costero,LESRPE
12019,Anthus pratensis,AVES,PASSERIFORMES,Motacillidae,Bisbita comun ,LESRPE
12231,Anthus spinoletta,AVES,PASSERIFORMES,Motacillidae,Bisbita alpino,LESRPE
12336,Anthus trivialis,AVES,PASSERIFORMES,Motacillidae,Bisbita arboreo,LESRPE
10648,Motacilla alba,AVES,PASSERIFORMES,Motacillidae,Lavandera blanca,LESRPE
10898,Motacilla cinerea,AVES,PASSERIFORMES,Motacillidae,Lavandera cascadena,LESRPE
11274,Motacilla flava,AVES,PASSERIFORMES,Motacillidae,Lavandera boyera,LESRPE
10894,Cinclus cinclus,AVES,PASSERIFORMES,Cinclidae,Mirlo acuatico,LESRPE
12340,Troglodytes troglodytes,AVES,PASSERIFORMES,Troglodytidae,Chochin,LESRPE
11054,Prunella collaris,AVES,PASSERIFORMES,Prunellidae,Acentor alpino,LESRPE
11761,Prunella modularis,AVES,PASSERIFORMES,Prunellidae,Acentor comun,LESRPE
12324,Turdus torquatus,AVES,PASSERIFORMES,Turdidae,Mirlo capiblanco,LESRPE
11003,Cettia cetti,AVES,PASSERIFORMES,Cettiidae,Ruisenor bastardo,LESRPE
11543,Cisticola juncidis,AVES,PASSERIFORMES,Cisticolidae,Buitron,LESRPE
11630,Locustella luscinioides,AVES,PASSERIFORMES,Locustellidae,Buscarla unicolor,LESRPE
11807,Locustella naevia,AVES,PASSERIFORMES,Locustellidae,Buscarla pintoja,LESRPE
10724,Phylloscopus bonelli,AVES,PASSERIFORMES,Phylloscopidae,Mosquitero papialbo,LESRPE
10949,Phylloscopus canariensis,AVES,PASSERIFORMES,Phylloscopidae,Mosquitero canario,LESRPE
11056,Phylloscopus collybita,AVES,PASSERIFORMES,Phylloscopidae,Mosquitero comun ,LESRPE
11489,Phylloscopus ibericus,AVES,PASSERIFORMES,Phylloscopidae,Mosquitero iberico,LESRPE
12206,Phylloscopus sibilatrix,AVES,PASSERIFORMES,Phylloscopidae,Mosquitero silbador,LESRPE
12337,Phylloscopus trochilus,AVES,PASSERIFORMES,Phylloscopidae,Mosquitero musical,LESRPE
11499,Regulus ignicapillus,AVES,PASSERIFORMES,Regulidae,Reyezuelo listado,LESRPE
12088,Regulus regulus,AVES,PASSERIFORMES,Regulidae,Reyezuelo sencillo,LESRPE
10791,Sylvia atricapilla,AVES,PASSERIFORMES,Sylviidae,Curruca capirotada,LESRPE
80946,Sylvia balearica (= S. sarda),AVES,PASSERIFORMES,Sylviidae,Curruca sarda o balear,LESRPE
10728,Sylvia borin,AVES,PASSERIFORMES,Sylviidae,Curruca mosquitera,LESRPE
80920,Sylvia cantillans,AVES,PASSERIFORMES,Sylviidae,Curruca carrasquena,LESRPE
80921,Sylvia communis,AVES,PASSERIFORMES,Sylviidae,Curruca zarcera,LESRPE
80923,Sylvia conspicillata,AVES,PASSERIFORMES,Sylviidae,Curruca tomillera,LESRPE
80925,Sylvia curruca,AVES,PASSERIFORMES,Sylviidae,Curruca zarcerilla,LESRPE
80927,Sylvia hortensis,AVES,PASSERIFORMES,Sylviidae,Curruca mirlona ,LESRPE
80929,Sylvia melanocephala,AVES,PASSERIFORMES,Sylviidae,Curruca cabecinegra,LESRPE
80931,Sylvia undata,AVES,PASSERIFORMES,Sylviidae,Curruca rabilarga,LESRPE
11483,Ficedula hypoleuca,AVES,PASSERIFORMES,Muscicapidae,Papamoscas cerrojillo,LESRPE
12250,Muscicapa striata,AVES,PASSERIFORMES,Muscicapidae,Papamoscas gris,LESRPE
11327,Cercotrichas galactotes,AVES,PASSERIFORMES,Muscicapidae,Alzacola,Vulnerable
12111,Erithacus rubecula,AVES,PASSERIFORMES,Muscicapidae,Petirrojo,LESRPE
11701,Luscinia megarhynchos,AVES,PASSERIFORMES,Muscicapidae,Ruisenor comun,LESRPE
12282,Luscinia svecica,AVES,PASSERIFORMES,Muscicapidae,Pechiazul,LESRPE
12155,Monticola saxatilis,AVES,PASSERIFORMES,Muscicapidae,Roquero rojo,LESRPE
12226,Monticola solitarius,AVES,PASSERIFORMES,Muscicapidae,Roquero solitario,LESRPE
11453,Oenanthe hispanica,AVES,PASSERIFORMES,Muscicapidae,Collalba rubia,LESRPE
